company,description,salary,technologies,title
EPAM,"We are seeking a skilled  Senior Python Developer  to join our dynamic team. The ideal candidate will be responsible for designing and developing robust data pipelines, automating data processes, and delivering scalable solutions. This role demands a deep understanding of structured and unstructured data, big data frameworks, and distributed systems. The remote option applies only to the Candidates who will be working from any location in Ukraine. Responsibilities Design and develop data pipelines Deliver robust, scalable, and reusable solutions Automate data extraction, transformation, and provisioning irrespective of the source and target type Develop and operate Airflow, Meltano, and DBT Manage ArgoCD and K8s operations Implement and maintain data solutions on AWS Cloud using Redshift and Snowflake Utilize Spark for data processing and streaming technologies like Kafka or Kinesis Employ containerization and orchestration tools such as Kubernetes, Docker, and Terraform Requirements 3+ years of experience in Python with proficiency in building data pipelines Strong knowledge of AWS Cloud and Redshift Experienced with SQL, NoSQL databases Familiarity with core engineering practices including versioning, CI/CD, quality assurance, and automated testing Knowledge of Spark and streaming technologies like Kafka or Kinesis Understanding of Kubernetes, Docker, and Terraform Experience with Airflow, Meltano, and DBT development and operations Ability to work with large scale system design and distributed systems Fluent English communication skills at a B2+ level Nice to have Experience with Apache Airflow and PySpark Familiarity with RudderStack, Segment, and AVO Prior exposure to ArgoCD and K8s operations We offer Work on a flexible schedule remotely or from any of our comfortable offices or coworking spaces in Ukraine Receive the necessary equipment to perform your work tasks Change projects and technology stacks within EPAM Gain experience in various business domains (Insurance, E-commerce, Healthcare, Finance, Travelling, Media, Artificial Intelligence, and more) Consider relocation options in over 30 countries worldwide Participate in volunteer, charity programs and communities (both technical and interest-based) You can plan your individual career path together with your manager Receive regular feedback from colleagues Improve your English for free with certified teachers (Speaking Clubs, client interview preparation courses, etc.) Get the opportunity to undergo free training and certification in AWS, GCP, or Azure Clouds Use the internal E-learn training program (18,200+ specialized training and mentoring programs) Access corporate accounts on LinkedIn Learning, Get Abstract and other partner resources Study at EPAM Solution Architecture School with the instructors who are practicing architects Develop as a leader, join Delivery Management, Resource Management, Leadership Essentials school and more Participate in internal communities (500+ meetups, technical discussions, brainstorming sessions, online events and conferences annually) Vacation and sick leave (including a sick leave without a medical certificate) A wide range of Voluntary Medical Insurance programs providing both medical treatment and various preventive options (including sports activities) Medical insurance for family members at corporate rates Company support during significant life events (childbirth or adoption, marriage, etc.) Support for psychological comfort: discounts on services from mental health specialists or coaches, thematic training E-kids program — a free programming language training program for EPAMers’ children EPAM strives to provide its global team of over 52,800+ professionals in more than 55 countries with opportunities for professional growth from day one of collaboration. Our colleagues are the source of EPAM's success, so we value cooperation, strive to always understand our clients' business and aim for the highest quality standards. No matter where you are, you will join a dedicated, diverse community that will help you realize your potential to the fullest.",Not specified,"Python,AWS,Azure,Docker,Kubernetes,Terraform",Senior Python Developer
Geniusee,"Our mission at Geniusee is to help businesses thrive through tech partnerships and strengthen the engineering community by sharing knowledge and creating opportunities🌿 We care about Trust, Partnership, Transparency, and Responsibility. We offer a safe, inclusive, and productive environment for all team members, and we’re always open to feedback💜 If you want to work from home or work in the offices in Kyiv, Lviv or Warsaw with stable electricity and Wi-Fi, great — apply right now. Geniusee looking for a talented Python Developer with 2+ years of relevant experience. About the project:   The FinTech Educational Platform is dedicated to enhancing financial literacy worldwide. By fostering a deeper understanding of financial concepts, the platform aims to create a more financially competent and resilient global community. Responsibilities:   ● Collaborate with the customer R&D team and management to design and implement cutting-edge data-driven solutions; ● Develop and maintain data pipelines to power application backend Python and SQL; ● Utilize Python and SQL to manipulate and analyze large datasets; ● Work with the AWS cloud platform; ● Participate in code reviews, debugging, and troubleshooting to ensure high-quality deliverables; ● Engage in continuous learning and stay updated on emerging trends in software and data engineering. What you will need:   ● 2+ years of practical experience in Software Engineering roles; ● Proficient in Python, with strong SQL skills; ● Experience with Flask and libraries such as Pandas and SQLAlchemy; ● Familiarity with AWS services, including S3, EC2 and SQS; ● Hands-on experience with Docker; ● English proficiency at Upper-Intermediate level or higher. What will you get:   ● Competitive salary and good compensation package; ● Exciting, challenging, and stable startup projects with a modern stack; ● Corporate English course; ● Ability to practice English and communication skills through permanent interaction with clients from all over the world; ● Professional study compensation, online courses and certifications; ● Career development opportunity, semi-annual and annual salary review process; ● Necessary equipment to perform work tasks; ● VIP medical insurance or sports coverage; ● Informal and friendly atmosphere; ● The ability to focus on your work: a lack of bureaucracy and micromanagement; ● Flexible working hours (start your day between 8:00 and 11:30); ● Team buildings, corporate events; ● Paid vacation (18 working days) and sick leaves; ● Cozy offices in 2 cities ( Kyiv & Lviv ) with electricity and Wi-Fi ( Generator & Starlink ) ● Compensation for coworking (except for employees from Kyiv and Lviv) ● Corporate lunch + soft skills clubs ● Unlimited work from home from anywhere in the world (remote); ● Geniusee has its own charity fund. Reasons you will love working at Geniusee:   ● Employee-friendly working conditions One of Geniusee’s core values is treating each team member like a trusted partner. You get to choose your work environment because you know yourself best. ● Teamwork beats distance We put effort into maintaining a happy, friendly atmosphere within the team. We see each other at team meetups, workshops, G-talks, marathons, and other events. ● Excellent tools and equipment You don’t have to worry about your work gear, Geniusee will provide you with high-quality hardware appropriate for your job description. Your Geniusee Career Growth:   ●  360-degree  feedback — a process through which feedback from an employee’s subordinates, colleagues, and supervisor, as well as a self-evaluation by the employee themselves, is gathered ● Evaluation — time to talk with an expert. Together, you will assess the progress you have achieved ● Navigation — summarize your review with a manager and define your future goals",Not specified,"Python,Flask,AWS,Docker,SQLAlchemy,Pandas",Middle Python Developer
YozmaTech,"About Us We are a leading Israeli IT company with 15 years of market experience and 8 years in Ukraine. Officially registered in Ukraine, Israel, and Estonia, we employ over 100 professionals worldwide. We specialize in successful startup collaboration and offer services across e-commerce, Fintech, logistics, and healthcare. Our client`s product  enables users to build and operate predictive AI models without coding. It helps sales teams identify and prioritize leads, improve conversion rates, and reduce churn.  We are looking for a highly skilled and passionate  Senior Backend Engineer  with strong  Java and Python expertise  a passion for startups and a genuine interest in ML and Data to join our team. Requirements: 5+ years of commercial experience with Java programming language; 5+ years of commercial experience with Python programming language; Hands-on experience with Spring Boot; Strong knowledge of the Flask web application framework; Solid understanding of Amazon Athena service; Proficiency in database technologies (SQL, NoSQL, etc.); Proven expertise with cloud technologies (on AWS or a cloud provider alike); English — Upper-Intermediate or higher. Responsibilities: ​​​​​​​Lead the design and development of scalable, high-performance Python and Java applications; Design, plan, and build all aspects of the platform’s data, ML pipelines, and backend components; Take part in coding, developing features, fixing bugs, and improving performance; Take responsibility for a complete platform and cloud infrastructure on a large system using AWS EC2; Manage and mentor a team of developers to create a productive work environment; Work with other team members to integrate systems and ensure everything runs smoothly; Сollaborate with all stakeholders to define project requirements, scope, and timelines. We offer: Competitive, performance-based salary; Free English classes with a native speaker and external courses compensation; PE support by professional accountants; Regular team-building events, conferences, meetups, and fun activities; Many other benefits you’ll find out at the interview.",Not specified,"Python,Flask,AWS,ML",Senior Backend Engineer
Nova Digital,"Українська IT-компанія Nova Digital, що входить в групу компаній NOVA — це потужний виробник веб-додатків та програмного забезпечення для архітектур будь-якої складності та навантаженості на них. Ми створюємо, обслуговуємо та постійно вдосконалюємо програмні продукти, зручність яких вже оцінили 32 мільйони приватних та бізнес-клієнтів Нової пошти. Ми розширюємо нашу команду, тому наразі ми у пошуку  Middle Python Engineer   Про команду   Відділ прогнозування та моделювання займається вирішенням цікавих інноваційних задач. По своєї суті, ми R&D підрозділ по аналітиці даних. Спектр задач різноманітний: прогнозування часових рядів, сегментації, NLP, створення алгоритмів прогнозування, нестандартна аналітика даних та інше.   Чим ти займатимешся Автоматизовувати прогнози та обробку даних по існуючим алгоритмам, або створювати нові Створювати з нуля модель для сегментації з використанням NLP/LLM Розробляти алгоритми для прогнозування, сегментацій та інше на основі бібліотек Machine Learning Про тебе Досвід розробки з даними на Python від  2-х  років, досвід роботи з базами даних Впевненно володієш математичним апаратом для Python: numpy, scipy, pandas та інше Розумієшься на Machine Learning  Бажаний досвід роботи з NLP/LLM або готовність швидко розібратися Можеш знайти нестандартне рішення задачі Не боїшся рутинних задач по аналітиці даних Рівень володіння англійської мови В1 Ми пропонуємо Офіційне працевлаштування Оплачувану відпустку  Медичне страхування Необхідну техніку для роботи Корпоративну культуру, яка мотивує та заряджає позитивом Роботу в соціально відповідальній компанії, що слідкує за трендами, цінує ідеї співробітників і розвивається разом з ним Можливість безпосередньо впливати на створення продукту, яким користуються мільйони користувачів Можливість роботи віддалено або у сучасному офісі, за бажанням Надсилай своє резюме, будемо знайомитись :)",Not specified,"Python,Pandas,NumPy,SciPy,GIT",Middle Python Engineer
Deloitte,"Responsibilities: Develop, modify, and maintain complex web applications. Design, implement, and optimize RESTful APIs using FastAPI or Flask. Work closely with cross-functional teams to ensure reliable application performance. Manage and optimize relational databases, including PostgreSQL, and MongoDB for efficient data management. Implement data validation and serialization with Pydantic. Develop CI/CD pipelines and ensure smooth deployment processes. Perform unit and integration testing to maintain high code quality. Requirements: 2+ years of experience in backend development using Python (version 3.9+). Proficiency in FastAPI or Flask. Experience with Pydantic for data validation. Strong knowledge of SQL and ORM tools such as SQLAlchemy. Experience with relational databases (PostgreSQL) and MongoDB. Familiarity with Redis for caching solutions. Solid understanding of version control, specifically Git. Familiarity with Docker and containerized applications. Knowledge of best practices in software development and code quality. Nice to Have: Experience with Celery for task queuing. Familiarity with AsyncIO for asynchronous programming. Knowledge of Kubernetes for container orchestration. Experience with cloud platforms such as AWS or Azure. Familiarity with RabbitMQ for messaging.",Not specified,"Python,Flask,FastAPI,AWS,API,Azure,Docker,Kubernetes,Celery,Redis,RabbitMQ,PostgreSQL,MongoDB,SQLAlchemy,Pydantic,GIT",Middle Python Developer (Ukraine location only)
DXC Luxoft,"Project Description: We are looking for an experienced QA engineer to join a team focused on the development of complex medical prescription software for modern orthodontic solutions. The work includes full cycle of Quality Assurance. Responsibilities: • Design and develop automated tests for Web in close collaboration with the development team • Maintenance of the required test documents (test cases, reports, etc.) • Performance testing • Proactive work in a distributed agile environment Mandatory Skills Description: • 4+ years of experience as an QA Automation Engineer • Python programming skills • Experience in backend test automation • Experience in Web UI test automation (Selenium WebDriver) • Knowledge about BDD approach • Solid understanding of SDLC and QA processes, best practices, testing techniques, and methodologies • Experience in popular CI tools (Atlassian suite preferred) • BS or MS in Computer Science, Engineering, or Mathematics • Good English written and verbal communication skills Nice-to-Have Skills Description: • Experience working with REST API testing tools • Experience with CAD/CAM applications testing • Experience with 3D applications testing Languages: English: B2 Upper Intermediate",Not specified,"Python,API",Senior Test Automation Engineer w/ Python
Deloitte,"Responsibilities: Assist in developing and maintaining web applications. Work on API development and integration tasks using Flask or FastAPI. Collaborate with team members to ensure project goals are met. Conduct debugging and testing to improve code quality. Write basic documentation for development tasks. Requirements: Basic experience in Python programming (1+ years). Familiarity with Flask or FastAPI frameworks. Understanding of RESTful API principles. Exposure to databases like PostgreSQL, MySQL, or MongoDB. Knowledge of version control systems, specifically Git. Eagerness to learn and adapt in a fast-paced environment. Must-have language skills: Fluent English in speech and writing (at least B2+)",Not specified,"Python,Flask,FastAPI,API,PostgreSQL,MySQL,MongoDB,GIT",Strong Junior Python Developer (Ukraine location only)
Deloitte,"Requirements:   Education: Information Technology, Computer Science, Data Management Work experience: 3+ years Must be able to write maintainable/scalable/efficient code Technical Skills:    — Python (Pydantic) — Scala — Databricks — Spark — Azure — Docker — Compute Virtualization Concepts (e.g., KVM, VMware) Must-have competencies / Must-have skills:   — REST APIs principles (FastAPI and OpenAPI) — Relational databases i.e PostgreSQL / MySQL — NoSql Databases i.e MongoDB — Messaging queues (Async Communication Concepts, RabbitMQ , Amazon SQS,etc) — Linux operating system — Test-Driven Development (TDD) — Contract Testing — Agile and DevOps Practices — Git version control — Experience in creating CI/CD pipelines — Strong unit test and debugging skills — Good verbal and written communication English skills (Upper Intermediate level)   Must-have language skills: Fluent English in speech and writing (at least B2+) Will be a plus experience with:   — Flask, FastAP — Golang — JS/TypeScript — KVM, libvirt — Kubernetes — Creating ETL pipelines — Experience with redfish and TFTP protocols — Infrastructure Automation (IaC) — Graph Databases (like Neo4j, ArangoDB, ...) — Observability Systems: Proficiency in integrating with monitoring and logging systems for real- time insights into system/application performance. Familiarity with tools like Prometheus, Grafana, OpenTelemetry, and other similar stacks (e.g., EFK — Elasticsearch, Fluentd, Kibana). — Virtualization concepts (Networks + IPAM, storage management) Personal skills:   — Strong analytical and critical thinking skills to analyze complex problems and develop innovative solutions.  — Ability to evaluate project risks and make data-driven decisions to mitigate potential issues. — Problem-Solving:  — Exceptional troubleshooting and problem-solving skills, with a focus on root cause analysis and sustainable solutions. — The ability to work independently and take initiative in identifying and addressing technical challenges — Demonstrated commitment to ensuring high-quality deliverables through rigorous standards and processes. — Written, verbal and interpersonal communication skills — Team player attitude.",Not specified,"Python,Flask,FastAPI,API,Azure,Docker,Kubernetes,RabbitMQ,PostgreSQL,MySQL,MongoDB,Elasticsearch,Grafana,Prometheus,Pydantic,GIT",Senior Python Developer (Ukraine location only)
RubyPlay,"We are seeking a talented  Backend Developer (Python)  to join our growing development team. As part of the backend team, you will be responsible for developing and maintaining the core backend services of our application, including API development, data synchronization, and file management. You’ll work closely with the frontend team and DevOps to ensure that the application is fast, reliable, and scalable. Here’s How You’ll Make an Impact: Design, develop, and maintain a  RESTful API  using  Python  (Flask/Django/FastAPI) to support the frontend application. Implement  authentication  and  authorization  using  JWT  and  OAuth2  for secure user access. Develop synchronization services that interface with  Google Drive  and  Google Cloud Storage , ensuring files are synced efficiently. Integrate  Google Cloud Functions  or  Google Cloud Run  to handle scheduled sync tasks. Manage and optimize the  PostgreSQL  database, ensuring efficient querying and storage of metadata for files, users, permissions, and roles. Implement  signed URLs  for secure file access via  Google Cloud CDN . Write and maintain  unit tests  and  integration tests  to ensure high-quality code. Collaborate with the DevOps team to implement CI/CD pipelines and ensure smooth deployment processes. Troubleshoot, debug, and optimize backend performance. What Makes You A Strong Candidate: 3+ years of experience  in backend development using  Python  and frameworks such as  Flask ,  Django , or  FastAPI . Proficiency with  PostgreSQL  or other relational databases. Strong understanding of  RESTful API design  and implementation. Experience with  Google Cloud Platform (GCP)  services, including  Google Cloud Functions ,  Google Cloud Storage , and  Google Cloud CDN . Familiarity with  Google Drive API  and managing file synchronization. Experience with secure file access using  signed URLs  and  OAuth2 . Solid understanding of security best practices, particularly in authentication and data protection. Experience with  Docker  and containerized applications. Familiarity with  CI/CD pipelines  and version control (Git). Bonus Points If You Have: Knowledge of  Cloud Run  and  serverless architecture . Why You’ll Love It Here: Talented and open people around Budget for personal development  Well-being Budget Annual bonus Development days to grow professionally Free English classes Paid vacation days/paid sick leaves Interested in becoming a RubyPlayer and making your mark in iGaming world? Join us!",Not specified,"Python,Django,Flask,FastAPI,API,Google Cloud Platform,Docker,PostgreSQL,GIT",Backend Developer (Python)
SpeedlineHub Recruiting,"Our client is an international product-based IT company specializing in the iGaming industry. Born in 2014, they rocked the CIS region, and now take the success to the world. We are seeking a highly motivated  Middle Python Developer   to join their team. 📚 Your qualifications:   — A solid track record of using Python for at least 3 years, with hands-on experience in developing, debugging, and optimizing Python-based applications. — Experience working with MongoDB or similar NoSQL databases. — Understanding of Concurrent Programming: experience in high-load and multi-threaded projects. — Competence in SQL, with the ability to write, optimize, and troubleshoot SQL queries. — Excellent written and verbal communication skills, with the ability to convey technical information clearly and effectively to both technical and non-technical stakeholders. ➕ Nice to have: — Practical skills in Go development. — Experience with Django, Tornado, Fastapi. — Experience with Redis. 📋 Key responsibilities and your contribution:   — Building and optimizing server-side applications and services/microservices for processing data. — Setting up and maintaining integrations with external financial systems, payment gateways. — Designing, optimizing, and managing databases, writing efficient SQL queries, and working with ORM. — Writing unit tests, conducting integration testing, optimizing performance, and debugging code issues. What we offer:   ⭐ Days of recovery: 20 paid vacation day per year and unlimited sick leave days. ⭐ Health: corporate medical insurance, a company psychologist and a Cafeteria of Benefits for personal wellness choices. ⭐ Education: a variety of foreign languages course for you to choose from. Also we are open for your development and you can choose different courses training for improving your skills. ⭐ Compensation: we offer a selection of additional benefits that can be used according to company policy, e.g. paid business trips, international conference opportunities, lunch perks at our offices etc. ⭐ Work Environment: work remotely or from one of our offices in Cyprus, Portugal, Poland, equipped with the equipment you’ll need for success.",Not specified,"Python,Django,FastAPI,Tornado,API,Redis,MongoDB",Middle Python Developer
